,,Avaliou o desempenho dos alunos usando computador e Internet,Avaliou o desempenho dos alunos usando computador e Internet,Avaliou o desempenho dos alunos usando computador e Internet,Avaliou o desempenho dos alunos usando computador e Internet,"Utilizou programas educativos de computador, simulações e projeções com os alunos","Utilizou programas educativos de computador, simulações e projeções com os alunos","Utilizou programas educativos de computador, simulações e projeções com os alunos","Utilizou programas educativos de computador, simulações e projeções com os alunos","Criou sites, páginas na Internet ou blogs com os alunos","Criou sites, páginas na Internet ou blogs com os alunos","Criou sites, páginas na Internet ou blogs com os alunos","Criou sites, páginas na Internet ou blogs com os alunos",Criou um jogo de computador ou aplicativo com os alunos,Criou um jogo de computador ou aplicativo com os alunos,Criou um jogo de computador ou aplicativo com os alunos,Criou um jogo de computador ou aplicativo com os alunos,Disponibilizou conteúdo na Internet para os alunos,Disponibilizou conteúdo na Internet para os alunos,Disponibilizou conteúdo na Internet para os alunos,Disponibilizou conteúdo na Internet para os alunos,Tirou dúvidas dos alunos pela Internet,Tirou dúvidas dos alunos pela Internet,Tirou dúvidas dos alunos pela Internet,Tirou dúvidas dos alunos pela Internet,Recebeu trabalhos ou lições pela Internet,Recebeu trabalhos ou lições pela Internet,Recebeu trabalhos ou lições pela Internet,Recebeu trabalhos ou lições pela Internet,"Desenvolveu projetos no computador ou na Internet com os alunos (projetos científicos, artísticos e sociais)","Desenvolveu projetos no computador ou na Internet com os alunos (projetos científicos, artísticos e sociais)","Desenvolveu projetos no computador ou na Internet com os alunos (projetos científicos, artísticos e sociais)","Desenvolveu projetos no computador ou na Internet com os alunos (projetos científicos, artísticos e sociais)","Desenvolveu atividades no computador ou na Internet com o uso de música, vídeos, fotografia","Desenvolveu atividades no computador ou na Internet com o uso de música, vídeos, fotografia","Desenvolveu atividades no computador ou na Internet com o uso de música, vídeos, fotografia","Desenvolveu atividades no computador ou na Internet com o uso de música, vídeos, fotografia","Desenvolveu atividades no computador ou na Internet com o uso de música, vídeos, fotografia"
,,Sim,Não,Não sabe,Não respondeu,Sim,Não,Não sabe,Não respondeu,Sim,Não,Não sabe,Não respondeu,Sim,Não,Não sabe,Não respondeu,Sim,Não,Não sabe,Não respondeu,Sim,Não,Não sabe,Não respondeu,Sim,Não,Não sabe,Não respondeu,Sim,Não,Não sabe,Não respondeu,Sim,Não,Não sabe,Não respondeu,Não respondeu.1
SEXO,Feminino,92011.0,132343.0,443.0,0.0,80575.0,144041.0,181.0,0.0,8830.0,215960.0,8.0,0.0,6948.0,217841.0,8.0,0.0,109033.0,115757.0,8.0,0.0,104550.0,120239.0,8.0,0.0,76357.0,148418.0,22.0,0.0,40353.0,184436.0,8.0,0.0,121157.0,103633.0,8.0,0.0,
SEXO,Masculino,38937.0,40404.0,0.0,0.0,41370.0,37971.0,0.0,0.0,10121.0,69220.0,0.0,0.0,3016.0,76325.0,0.0,0.0,47557.0,31630.0,155.0,0.0,40659.0,38682.0,0.0,0.0,30309.0,49006.0,26.0,0.0,19357.0,59782.0,0.0,201.0,34504.0,44797.0,40.0,0.0,
FAIXA ETÁRIA,Até 30 anos,15773.0,23618.0,0.0,0.0,19865.0,19526.0,0.0,0.0,2386.0,37005.0,0.0,0.0,1105.0,38286.0,0.0,0.0,21550.0,17841.0,0.0,0.0,21729.0,17662.0,0.0,0.0,16634.0,22757.0,0.0,0.0,12156.0,27235.0,0.0,0.0,23388.0,16003.0,0.0,0.0,
FAIXA ETÁRIA,De 31 a 45 anos,69692.0,85897.0,0.0,0.0,63394.0,92022.0,173.0,0.0,10957.0,144632.0,0.0,0.0,5249.0,150340.0,0.0,0.0,76386.0,79049.0,155.0,0.0,77947.0,77642.0,0.0,0.0,54971.0,100592.0,26.0,0.0,30310.0,125078.0,0.0,201.0,84302.0,71287.0,0.0,0.0,
FAIXA ETÁRIA,De 46 anos ou mais,45482.0,63233.0,443.0,0.0,38686.0,70465.0,8.0,0.0,5607.0,103543.0,8.0,0.0,3610.0,105541.0,8.0,0.0,58653.0,50497.0,8.0,0.0,45533.0,63617.0,8.0,0.0,35062.0,74074.0,22.0,0.0,17244.0,91906.0,8.0,0.0,47970.0,61140.0,48.0,0.0,
RENDA FAMILIAR,Até 3 SM,16713.0,33914.0,0.0,0.0,16463.0,34164.0,0.0,0.0,1054.0,49573.0,0.0,0.0,2567.0,48060.0,0.0,0.0,23997.0,26629.0,0.0,0.0,26038.0,24589.0,0.0,0.0,15785.0,34841.0,0.0,0.0,5646.0,44779.0,0.0,201.0,22211.0,28416.0,0.0,0.0,
RENDA FAMILIAR,Mais de 3 até 5 SM,29654.0,39848.0,0.0,0.0,30040.0,39461.0,0.0,0.0,4569.0,64932.0,0.0,0.0,1105.0,68397.0,0.0,0.0,35542.0,33805.0,155.0,0.0,41956.0,27546.0,0.0,0.0,30236.0,39239.0,26.0,0.0,14577.0,54924.0,0.0,0.0,35520.0,33982.0,0.0,0.0,
RENDA FAMILIAR,Mais de 5 SM,83542.0,96338.0,443.0,0.0,74136.0,106005.0,181.0,0.0,12364.0,167951.0,8.0,0.0,5395.0,174920.0,8.0,0.0,95154.0,85161.0,8.0,0.0,76127.0,104188.0,8.0,0.0,59872.0,120429.0,22.0,0.0,38388.0,141927.0,8.0,0.0,96575.0,83700.0,48.0,0.0,
RENDA PESSOAL,Até 3 SM,40325.0,67521.0,8.0,0.0,44150.0,63696.0,8.0,0.0,6340.0,101507.0,8.0,0.0,3979.0,103868.0,8.0,0.0,56720.0,51126.0,8.0,0.0,63550.0,44297.0,8.0,0.0,40547.0,67300.0,8.0,0.0,14780.0,92865.0,8.0,201.0,53122.0,54724.0,8.0,0.0,
RENDA PESSOAL,Mais de 3 até 5 SM,51427.0,54799.0,332.0,0.0,40933.0,65452.0,173.0,0.0,6803.0,99755.0,0.0,0.0,1985.0,104573.0,0.0,0.0,53829.0,52575.0,155.0,0.0,49665.0,56893.0,0.0,0.0,36734.0,69784.0,40.0,0.0,22296.0,84262.0,0.0,0.0,53228.0,53290.0,40.0,0.0,
RENDA PESSOAL,Mais de 5 SM,38735.0,48659.0,103.0,0.0,35789.0,51708.0,0.0,0.0,4910.0,82586.0,0.0,0.0,3102.0,84395.0,0.0,0.0,44798.0,42699.0,0.0,0.0,31775.0,55722.0,0.0,0.0,28968.0,58528.0,0.0,0.0,21702.0,65795.0,0.0,0.0,48249.0,39247.0,0.0,0.0,
REGIÃO,Norte,9676.0,16153.0,111.0,0.0,8801.0,16958.0,181.0,0.0,1149.0,24783.0,8.0,0.0,841.0,25092.0,8.0,0.0,12180.0,13752.0,8.0,0.0,12440.0,13492.0,8.0,0.0,6768.0,19138.0,34.0,0.0,5349.0,20583.0,8.0,0.0,11903.0,14030.0,8.0,0.0,
REGIÃO,Centro-Oeste,12977.0,12167.0,0.0,0.0,10177.0,14967.0,0.0,0.0,1631.0,23513.0,0.0,0.0,770.0,24374.0,0.0,0.0,13807.0,11183.0,155.0,0.0,11341.0,13802.0,0.0,0.0,10259.0,14870.0,14.0,0.0,5996.0,19148.0,0.0,0.0,13541.0,11563.0,40.0,0.0,
REGIÃO,Nordeste,42613.0,52066.0,0.0,0.0,37202.0,57476.0,0.0,0.0,5574.0,89104.0,0.0,0.0,2166.0,92512.0,0.0,0.0,48102.0,46576.0,0.0,0.0,48225.0,46453.0,0.0,0.0,32517.0,62161.0,0.0,0.0,14412.0,80066.0,0.0,201.0,42935.0,51744.0,0.0,0.0,
REGIÃO,Sudeste,49062.0,71900.0,332.0,0.0,50810.0,70484.0,0.0,0.0,8736.0,112558.0,0.0,0.0,4273.0,117021.0,0.0,0.0,63399.0,57895.0,0.0,0.0,56719.0,64575.0,0.0,0.0,43088.0,78206.0,0.0,0.0,27634.0,93660.0,0.0,0.0,67018.0,54276.0,0.0,0.0,
